Date,Time ,Level_cm,Cal_point_cm,Corrected_level_cm,
4/24/2011,10:17,-15.3,31.2,15.9,
4/25/2011,10:17,-14.6,31.2,16.6,
4/26/2011,10:17,-16.3,31.2,14.9,
4/27/2011,10:17,-17.5,31.2,13.7,
4/28/2011,10:17,-16.8,31.2,14.4,
4/29/2011,10:17,-16.5,31.2,14.7,
4/30/2011,10:17,-17.7,31.2,13.5,
5/1/2011,10:17,-16.5,31.2,14.7,
5/2/2011,10:17,-17.1,31.2,14.1,
5/3/2011,10:17,-14.1,31.2,17.1,
5/4/2011,10:17,-15.7,31.2,15.5,
5/5/2011,10:17,-17.6,31.2,13.6,
5/6/2011,10:17,-16.9,31.2,14.3,
5/7/2011,10:17,-17.4,31.2,13.8,
5/8/2011,10:17,-18.7,31.2,12.5,
5/9/2011,10:17,-17.8,31.2,13.4,
5/10/2011,10:17,-17.8,31.2,13.4,
5/11/2011,10:17,-17.8,31.2,13.4,
5/12/2011,10:17,-18.1,31.2,13.1,
5/13/2011,10:17,-15.5,31.2,15.7,
5/14/2011,10:17,-12.5,31.2,18.7,
5/15/2011,10:17,-12.8,31.2,18.4,
5/16/2011,10:17,-13.6,31.2,17.6,
5/17/2011,10:17,-14,31.2,17.2,
5/18/2011,10:17,-14,31.2,17.2,
5/19/2011,10:17,-14.2,31.2,17,
5/20/2011,10:17,-14.5,31.2,16.7,
5/21/2011,10:17,-15.1,31.2,16.1,
5/22/2011,10:17,-14.9,31.2,16.3,
5/23/2011,10:17,-14,31.2,17.2,
5/24/2011,10:17,-15.4,31.2,15.8,
5/25/2011,10:17,-15.9,31.2,15.3,
5/26/2011,10:17,-9.2,31.2,22,
5/27/2011,10:17,-8.7,31.2,22.5,
5/28/2011,10:17,-10.2,31.2,21,
5/29/2011,10:17,-10.5,31.2,20.7,
5/30/2011,10:17,-11.7,31.2,19.5,
5/31/2011,10:17,-12.9,31.2,18.3,
6/1/2011,10:17,-14.7,31.2,16.5,
6/2/2011,10:17,-15.6,31.2,15.6,
6/3/2011,10:17,-16.1,31.2,15.1,
6/4/2011,10:17,-15.2,31.2,16,
6/5/2011,10:17,-16.3,31.2,14.9,
6/6/2011,10:17,-16.8,31.2,14.4,
6/7/2011,10:17,-14.7,31.2,16.5,
6/8/2011,10:17,-15.5,31.2,15.7,
6/9/2011,10:17,-17.5,31.2,13.7,
6/10/2011,10:17,-16.7,31.2,14.5,
6/11/2011,10:17,-17,31.2,14.2,
6/12/2011,10:17,-17.1,31.2,14.1,
6/13/2011,10:17,-16.1,31.2,15.1,
6/14/2011,10:17,-16.4,31.2,14.8,
6/15/2011,10:17,-16.7,31.2,14.5,
6/16/2011,10:17,-17.1,31.2,14.1,
6/17/2011,10:17,-17.8,31.2,13.4,
6/18/2011,10:17,-18.1,31.2,13.1,
6/19/2011,10:17,-18.4,31.2,12.8,
6/20/2011,10:17,-17.1,31.2,14.1,
6/21/2011,10:17,-16.4,31.2,14.8,
6/22/2011,10:17,-15.6,31.2,15.6,
6/23/2011,10:17,-17.2,31.2,14,
6/24/2011,10:17,-15,31.2,16.2,
6/25/2011,10:17,-16.1,31.2,15.1,
6/26/2011,10:17,-16.2,31.2,15,
6/27/2011,10:17,-16.7,31.2,14.5,
6/28/2011,10:17,-18.5,31.2,12.7,
6/29/2011,10:17,-18.8,31.2,12.4,
6/30/2011,10:17,-19.5,31.2,11.7,
7/1/2011,10:17,-20,31.2,11.2,
7/2/2011,10:17,-20,31.2,11.2,
7/3/2011,10:17,-17.7,31.2,13.5,
7/4/2011,10:17,-19.4,31.2,11.8,
7/5/2011,10:17,-19.7,31.2,11.5,
7/6/2011,10:17,-20.4,31.2,10.8,
7/7/2011,10:17,-20.6,31.2,10.6,
5/31/2012,9:02,-16.8,30,13.2,
5/31/2012,21:02,-15.4,30,14.6,
6/1/2012,9:02,-13.9,30,16.1,
6/1/2012,21:02,-15.4,30,14.6,
6/2/2012,9:02,-16.6,30,13.4,
6/2/2012,21:02,-16.4,30,13.6,
6/3/2012,9:02,-15.5,30,14.5,
6/3/2012,21:02,-15,30,15,
6/4/2012,9:02,-15.9,30,14.1,
6/4/2012,21:02,-16.2,30,13.8,
6/5/2012,9:02,-16.7,30,13.3,
6/5/2012,21:02,-16.3,30,13.7,
6/6/2012,9:02,-16.3,30,13.7,
6/6/2012,21:02,-15.5,30,14.5,
6/7/2012,9:02,-15.5,30,14.5,
6/7/2012,21:02,-16.1,30,13.9,
6/8/2012,9:02,-17.6,30,12.4,
6/8/2012,21:02,-16.6,30,13.4,
6/9/2012,9:02,-17.3,30,12.7,
6/9/2012,21:02,-17.2,30,12.8,
6/10/2012,9:02,-17.6,30,12.4,
6/10/2012,21:02,-17.9,30,12.1,
6/11/2012,9:02,-17.8,30,12.2,
6/11/2012,21:02,-18,30,12,
6/12/2012,9:02,-18.1,30,11.9,
6/12/2012,21:02,-18.4,30,11.6,
6/13/2012,9:02,-20.7,30,9.3,
6/13/2012,21:02,-19.8,30,10.2,
6/14/2012,9:02,-20.4,30,9.6,
6/14/2012,21:02,-17.7,30,12.3,
6/15/2012,9:02,-18.2,30,11.8,
6/15/2012,21:02,-18.9,30,11.1,
6/16/2012,9:02,-18.4,30,11.6,
6/16/2012,21:02,-19.3,30,10.7,
6/17/2012,9:02,-18.1,30,11.9,
6/17/2012,21:02,-17.2,30,12.8,
6/18/2012,9:02,-18.1,30,11.9,
6/18/2012,21:02,-17.8,30,12.2,
6/19/2012,9:02,-17.9,30,12.1,
6/19/2012,21:02,-19,30,11,
6/20/2012,9:02,-18.4,30,11.6,
6/20/2012,21:02,-19.1,30,10.9,
6/21/2012,9:02,-18.6,30,11.4,
6/21/2012,21:02,-19.1,30,10.9,
6/22/2012,9:02,-18.4,30,11.6,
6/22/2012,21:02,-19.9,30,10.1,
6/23/2012,9:02,-18.8,30,11.2,
6/23/2012,21:02,-18.7,30,11.3,
6/24/2012,9:02,-18,30,12,
6/24/2012,21:02,-18.7,30,11.3,
6/25/2012,9:02,-18.2,30,11.8,
6/25/2012,21:02,-20.7,30,9.3,
6/26/2012,9:02,-20.7,30,9.3,
6/26/2012,21:02,-17.2,30,12.8,
6/27/2012,9:02,-19.6,30,10.4,
6/27/2012,21:02,-18.9,30,11.1,
6/28/2012,9:02,-19.2,30,10.8,
6/28/2012,21:02,-20,30,10,
6/29/2012,9:02,-20.2,30,9.8,
6/29/2012,21:02,-20.9,30,9.1,
6/30/2012,9:02,-21.4,30,8.6,
6/30/2012,21:02,-21.4,30,8.6,
7/1/2012,9:02,-20.4,30,9.6,
7/1/2012,21:02,-22.2,30,7.8,
7/2/2012,9:02,-22.3,30,7.7,
7/2/2012,21:02,-15,30,15,
7/3/2012,9:02,-15.2,30,14.8,
7/3/2012,21:02,-14.6,30,15.4,
7/4/2012,9:02,-13.8,30,16.2,
7/4/2012,21:02,-14.9,30,15.1,
7/5/2012,9:02,-11.7,30,18.3,
7/5/2012,21:02,-13.9,30,16.1,
7/6/2012,9:02,-13.8,30,16.2,
7/6/2012,21:02,-14.4,30,15.6,
7/7/2012,9:02,-14.1,30,15.9,
7/7/2012,21:02,-15,30,15,
7/8/2012,9:02,-14.7,30,15.3,
7/8/2012,21:02,-15.3,30,14.7,
7/9/2012,9:02,-16.2,30,13.8,
7/9/2012,21:02,-15.1,30,14.9,
7/10/2012,9:02,-15.9,30,14.1,
7/10/2012,21:02,-15.1,30,14.9,
7/11/2012,9:02,-17.1,30,12.9,
7/11/2012,21:02,-15.3,30,14.7,
7/12/2012,9:02,-16.8,30,13.2,
7/12/2012,21:02,-15.5,30,14.5,
7/13/2012,9:02,-16.4,30,13.6,
7/13/2012,21:02,-16.9,30,13.1,
7/14/2012,9:02,-17.5,30,12.5,
7/14/2012,21:02,-16.9,30,13.1,
7/15/2012,9:02,-17.2,30,12.8,
7/15/2012,21:02,-17.4,30,12.6,
7/16/2012,9:02,-17.7,30,12.3,
7/16/2012,21:02,-17.2,30,12.8,
7/17/2012,9:02,-17.9,30,12.1,
7/17/2012,21:02,-14.4,30,15.6,
7/18/2012,9:02,-14.9,30,15.1,
7/18/2012,21:02,-15.9,30,14.1,
7/19/2012,9:02,-16.5,30,13.5,
7/19/2012,21:02,-10.6,30,19.4,
7/20/2012,9:02,-12.7,30,17.3,
7/20/2012,21:02,-13.5,30,16.5,
7/21/2012,9:02,-15,30,15,
7/21/2012,21:02,-14.5,30,15.5,
7/22/2012,9:02,-14.4,30,15.6,
7/22/2012,21:02,-15.2,30,14.8,
7/23/2012,9:02,-15.1,30,14.9,
7/23/2012,21:02,-15.9,30,14.1,
7/24/2012,9:02,-16.9,30,13.1,
7/24/2012,21:02,-18.5,30,11.5,
7/25/2012,9:02,-18.9,30,11.1,
7/25/2012,21:02,-17.1,30,12.9,
7/26/2012,9:02,-16.8,30,13.2,
7/26/2012,21:02,-14.5,30,15.5,
7/27/2012,9:02,-15.3,30,14.7,
7/27/2012,21:02,-14.5,30,15.5,
7/28/2012,9:02,-13.3,30,16.7,
7/28/2012,21:02,-15.2,30,14.8,
7/29/2012,9:02,-16.1,30,13.9,
7/29/2012,21:02,-15.5,30,14.5,
7/30/2012,9:02,-16.6,30,13.4,
7/30/2012,21:02,-15.7,30,14.3,
7/31/2012,9:02,-16,30,14,
7/31/2012,21:02,-16.6,30,13.4,
8/1/2012,9:02,-16.8,30,13.2,
8/1/2012,21:02,-16.5,30,13.5,
8/2/2012,9:02,-17.6,30,12.4,
8/2/2012,21:02,-16.3,30,13.7,
8/3/2012,9:02,-17.7,30,12.3,
8/3/2012,21:02,-16.5,30,13.5,
8/4/2012,9:02,-18.3,30,11.7,
8/4/2012,21:02,-17.2,30,12.8,
8/5/2012,9:02,-15.5,30,14.5,
8/5/2012,21:02,-16.8,30,13.2,
8/6/2012,9:02,-17.3,30,12.7,
8/6/2012,21:02,-16.1,30,13.9,
8/7/2012,9:02,-18,30,12,
8/7/2012,21:02,-16.4,30,13.6,
8/8/2012,9:02,-17.8,30,12.2,
8/8/2012,21:02,-16.6,30,13.4,
8/9/2012,9:02,-18.6,30,11.4,
8/9/2012,21:02,-17.2,30,12.8,
8/10/2012,9:02,-14.5,30,15.5,
8/10/2012,21:02,-13.7,30,16.3,
8/11/2012,9:02,-14.9,30,15.1,
8/11/2012,21:02,-13,30,17,
8/12/2012,9:02,-14.5,30,15.5,
8/12/2012,21:02,-13.6,30,16.4,
8/13/2012,9:02,-14.6,30,15.4,
8/13/2012,21:02,-13.8,30,16.2,
8/14/2012,9:02,-14,30,16,
8/14/2012,21:02,-13.9,30,16.1,
8/15/2012,9:02,-14.7,30,15.3,
8/15/2012,21:02,-14.5,30,15.5,
8/16/2012,9:02,-15,30,15,
8/16/2012,21:02,-15,30,15,
8/17/2012,9:02,-14.4,30,15.6,
8/17/2012,21:02,-15.3,30,14.7,
8/18/2012,9:02,-16.1,30,13.9,
8/18/2012,21:02,-14.5,30,15.5,
8/19/2012,9:02,-15.9,30,14.1,
8/19/2012,21:02,-13.9,30,16.1,
8/20/2012,9:02,-15.5,30,14.5,
8/20/2012,21:02,-14,30,16,
8/21/2012,9:02,-15.6,30,14.4,
8/21/2012,21:02,-13.4,30,16.6,
8/22/2012,9:02,-15.7,30,14.3,
8/22/2012,21:02,-13.7,30,16.3,
8/23/2012,9:02,-15.9,30,14.1,
8/23/2012,21:02,-14,30,16,
8/24/2012,9:02,-15.7,30,14.3,
8/24/2012,21:02,-14.3,30,15.7,
8/25/2012,9:02,-16.1,30,13.9,
8/25/2012,21:02,-15.5,30,14.5,
8/26/2012,9:02,-16.8,30,13.2,
8/26/2012,21:02,-15.7,30,14.3,
8/27/2012,9:02,-16.7,30,13.3,
8/27/2012,21:02,-12.6,30,17.4,
8/28/2012,9:02,-12.6,30,17.4,
8/28/2012,21:02,-14.3,30,15.7,
8/29/2012,9:02,-15.6,30,14.4,
8/29/2012,21:02,-14.4,30,15.6,
8/30/2012,9:02,-16.3,30,13.7,
8/30/2012,21:02,-14,30,16,
8/31/2012,9:02,-15.6,30,14.4,
8/31/2012,21:02,-14.3,30,15.7,
9/1/2012,9:02,-14.4,30,15.6,
9/1/2012,21:02,-14.6,30,15.4,
9/2/2012,9:02,-11.6,30,18.4,
9/2/2012,21:02,-12.1,30,17.9,
9/3/2012,9:02,-12.1,30,17.9,
9/3/2012,21:02,-12.1,30,17.9,
9/4/2012,9:02,-11.8,30,18.2,
9/4/2012,21:02,-10.1,30,19.9,
9/5/2012,9:02,-10.7,30,19.3,
9/5/2012,21:02,-11.1,30,18.9,
9/6/2012,9:02,-10.9,30,19.1,
9/6/2012,21:02,-11.2,30,18.8,
9/7/2012,9:02,-11.2,30,18.8,
9/7/2012,21:02,-11.2,30,18.8,
9/8/2012,9:02,-11.5,30,18.5,
9/8/2012,21:02,-12.4,30,17.6,
9/9/2012,9:02,-12.7,30,17.3,
9/9/2012,21:02,-12.8,30,17.2,
9/10/2012,9:02,-13.5,30,16.5,
9/10/2012,21:02,-12.9,30,17.1,
9/11/2012,9:02,-13.8,30,16.2,
9/11/2012,21:02,-11.9,30,18.1,
9/12/2012,9:02,-13.6,30,16.4,
9/12/2012,21:02,-11,30,19,
9/13/2012,9:02,-12.7,30,17.3,
9/13/2012,21:02,-11.4,30,18.6,
9/14/2012,9:02,-12.1,30,17.9,
9/14/2012,21:02,-13.1,30,16.9,
9/15/2012,9:02,-13.8,30,16.2,
9/15/2012,21:02,-13.9,30,16.1,
9/16/2012,9:02,-14.6,30,15.4,
9/16/2012,21:02,-12.8,30,17.2,
9/17/2012,9:02,-14.3,30,15.7,
9/17/2012,21:02,-11.4,30,18.6,
9/18/2012,9:02,-10.9,30,19.1,
9/18/2012,21:02,-13.3,30,16.7,
9/19/2012,9:02,-14.8,30,15.2,
9/19/2012,21:02,-14,30,16,
9/20/2012,9:02,-14.7,30,15.3,
9/20/2012,21:02,-12.1,30,17.9,
9/21/2012,9:02,-12.5,30,17.5,
9/21/2012,21:02,-12.9,30,17.1,
9/22/2012,9:02,-12.6,30,17.4,
9/22/2012,21:02,-13.2,30,16.8,
9/23/2012,9:02,-14.2,30,15.8,
9/23/2012,21:02,-14.1,30,15.9,
9/24/2012,9:02,-14.6,30,15.4,
9/24/2012,21:02,-14.3,30,15.7,
9/25/2012,9:02,-14.5,30,15.5,
9/25/2012,21:02,-11.7,30,18.3,
9/26/2012,9:02,-10.9,30,19.1,
9/26/2012,21:02,-11.4,30,18.6,
9/27/2012,9:02,-12.5,30,17.5,
9/27/2012,21:02,-12.7,30,17.3,
9/28/2012,9:02,-14.1,30,15.9,
9/28/2012,21:02,-13.9,30,16.1,
9/29/2012,9:02,-14.7,30,15.3,
9/29/2012,21:02,-13.7,30,16.3,
9/30/2012,9:02,-14.2,30,15.8,
9/30/2012,21:02,-14,30,16,
10/1/2012,9:02,-14.8,30,15.2,
10/1/2012,21:02,-12.7,30,17.3,
10/2/2012,9:02,-12.5,30,17.5,
10/2/2012,21:02,-11.8,30,18.2,
10/3/2012,9:02,-11.9,30,18.1,
10/3/2012,21:02,-12.9,30,17.1,
10/4/2012,9:02,-13.5,30,16.5,
10/4/2012,21:02,-12.7,30,17.3,
10/5/2012,9:02,-11.9,30,18.1,
10/5/2012,21:02,-13.4,30,16.6,
10/6/2012,9:02,-13.9,30,16.1,
10/6/2012,21:02,-14.1,30,15.9,
10/7/2012,9:02,-14.5,30,15.5,
10/7/2012,21:02,-14.6,30,15.4,
10/8/2012,9:02,-14.9,30,15.1,
10/8/2012,21:02,-14.3,30,15.7,
10/9/2012,9:02,-15.2,30,14.8,
10/9/2012,21:02,-14.4,30,15.6,
10/10/2012,9:02,-14.2,30,15.8,
10/10/2012,21:02,-14.6,30,15.4,
10/11/2012,9:02,-15.1,30,14.9,
10/11/2012,21:02,-14.3,30,15.7,
10/12/2012,9:02,-14.5,30,15.5,
10/12/2012,21:02,-14.9,30,15.1,
10/13/2012,9:02,-15.4,30,14.6,
10/13/2012,21:02,-11.9,30,18.1,
10/14/2012,9:02,-11.9,30,18.1,
10/14/2012,21:02,-12.1,30,17.9,
10/15/2012,9:02,-13.9,30,16.1,
10/15/2012,21:02,-14.3,30,15.7,
10/16/2012,9:02,-14.5,30,15.5,
10/16/2012,21:02,-15,30,15,
10/17/2012,9:02,-14.5,30,15.5,
10/17/2012,21:02,-13.6,30,16.4,
10/18/2012,9:02,-13.9,30,16.1,
10/18/2012,21:02,-14.2,30,15.8,
10/19/2012,9:02,-14.4,30,15.6,
10/19/2012,21:02,-14.3,30,15.7,
10/20/2012,9:02,-14.3,30,15.7,
10/20/2012,21:02,-14.5,30,15.5,
10/21/2012,9:02,-14.7,30,15.3,
10/21/2012,21:02,-14.7,30,15.3,
10/22/2012,9:02,-14.9,30,15.1,
10/22/2012,21:02,-13.5,30,16.5,
10/23/2012,9:02,-12.5,30,17.5,
10/23/2012,21:02,-12.7,30,17.3,
10/24/2012,9:02,-12.5,30,17.5,
10/24/2012,21:02,-13.3,30,16.7,
10/25/2012,9:02,-13.8,30,16.2,
10/25/2012,21:02,-14.6,30,15.4,
10/26/2012,9:02,-14.5,30,15.5,
10/26/2012,21:02,-14.4,30,15.6,
10/27/2012,9:02,-14.2,30,15.8,
10/27/2012,21:02,-14.1,30,15.9,
10/28/2012,9:02,-14.3,30,15.7,
10/28/2012,21:02,-13.1,30,16.9,
10/29/2012,9:02,-12.6,30,17.4,
10/29/2012,21:02,-11.7,30,18.3,
10/30/2012,9:02,-8.7,30,21.3,
10/30/2012,21:02,-8.2,30,21.8,
10/31/2012,9:02,-7.6,30,22.4,
10/31/2012,21:02,-7.6,30,22.4,
11/1/2012,9:02,-7.6,30,22.4,
11/1/2012,21:02,-8.1,30,21.9,
11/2/2012,9:02,-8.2,30,21.8,
11/2/2012,21:02,-8.3,30,21.7,
11/3/2012,9:02,-8.1,30,21.9,
11/3/2012,21:02,-8.2,30,21.8,
11/4/2012,9:02,-8.5,30,21.5,
11/4/2012,21:02,-8.5,30,21.5,
11/5/2012,9:02,-8.5,30,21.5,
11/5/2012,21:02,-8.7,30,21.3,
11/6/2012,9:02,-9.2,30,20.8,
11/6/2012,21:02,-9,30,21,
11/7/2012,9:02,-9.3,30,20.7,
11/7/2012,21:02,-8.9,30,21.1,
11/8/2012,9:02,-9,30,21,
11/8/2012,21:02,-8.9,30,21.1,
11/9/2012,9:02,-9.2,30,20.8,
11/9/2012,21:02,-8.8,30,21.2,
11/10/2012,9:02,-6.9,30,23.1,
11/10/2012,21:02,-7.6,30,22.4,
11/11/2012,9:02,-8.9,30,21.1,
11/11/2012,21:02,-7.6,30,22.4,
11/12/2012,9:02,-7.9,30,22.1,
11/12/2012,21:02,-9.1,30,20.9,
11/13/2012,9:02,-10,30,20,
11/13/2012,21:02,-9.8,30,20.2,
11/14/2012,9:02,-9.8,30,20.2,
11/14/2012,21:02,-9.9,30,20.1,
11/15/2012,9:02,-10.2,30,19.8,
11/15/2012,21:02,-9.9,30,20.1,
11/16/2012,9:02,-10.2,30,19.8,
11/16/2012,21:02,-9.8,30,20.2,
11/17/2012,9:02,-10.2,30,19.8,
11/17/2012,21:02,-9.8,30,20.2,
11/18/2012,9:02,-10.2,30,19.8,
11/18/2012,21:02,-9,30,21,
11/19/2012,9:02,-9.8,30,20.2,
11/19/2012,21:02,-8.9,30,21.1,
11/20/2012,9:02,-9.1,30,20.9,
11/20/2012,21:02,-7.9,30,22.1,
11/21/2012,9:02,-9.6,30,20.4,
11/21/2012,21:02,-9.6,30,20.4,
11/22/2012,9:02,-10.1,30,19.9,
11/22/2012,21:02,-9,30,21,
11/23/2012,9:02,-7.1,30,22.9,
11/23/2012,21:02,-10.1,30,19.9,
11/24/2012,9:02,-10.2,30,19.8,
11/24/2012,21:02,-10.1,30,19.9,
11/25/2012,9:02,-10.2,30,19.8,
11/25/2012,21:02,-10.4,30,19.6,
11/26/2012,9:02,-10.4,30,19.6,
11/26/2012,21:02,-9.9,30,20.1,
11/27/2012,9:02,-10.1,30,19.9,
11/27/2012,21:02,-10.1,30,19.9,
11/28/2012,9:02,-10.3,30,19.7,
11/28/2012,21:02,-10.3,30,19.7,
11/29/2012,9:02,-10.5,30,19.5,
11/29/2012,21:02,-10.6,30,19.4,
11/30/2012,9:02,-10.1,30,19.9,
