JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater,Average
538,16,-110,5,20,-15,3,10,-78,-19
539,14,-114,5,1,5,4,14,-72,-18
540,16,-96,8,21,6,3,13,-70,-12
541,15,-101,7,20,5,3,12,-74,-14
542,15,-83,6,19,2,3,14,-85,-14
543,14,-80,6,19,-23,3,10,-94,-18
544,13,-114,5,19,-28,2,8,-100,-24
545,12,-116,4,19,-39,2,5,-110,-28
546,12,-102,3,18,-46,3,3,-116,-28
547,11,-101,3,19,-53,3,2,-123,-30
548,11,-116,3,19,-53,2,5,-125,-32
549,14,-104,4,21,4,2,7,-126,-22
550,12,-115,6,19,-11,1,4,-128,-26
551,12,-118,4,19,-34,1,0,-135,-31
552,11,-122,4,19,-48,2,-1,-139,-34
553,11,-126,4,19,-57,1,-2,-144,-37
554,-9999,-127,4,19,-56,1,-4,-144,-44
555,-9999,-87,7,18,-60,1,-6,-150,-40
556,-9999,-114,6,19,-63,2,-8,-155,-45
557,-9999,-132,5,18,-64,1,-10,-160,-49
558,-9999,-126,6,19,-54,3,-4,-157,-45
559,-9999,-129,5,18,-61,1,-10,-162,-48
560,-9999,-118,7,17,-64,1,-12,-165,-48
561,-9999,-122,6,18,-64,2,-14,-167,-49
562,-9999,-135,5,18,-65,1,-16,-172,-52
563,-9999,-137,4,18,-65,1,-19,-175,-53
564,-9999,-138,5,18,-66,2,-21,-176,-54
565,-9999,11,9,7,7,7,18,22,12
566,-9999,22,8,6,-16,5,15,21,9
567,-9999,-10,6,6,-25,3,13,-2,-1
568,-9999,-54,6,6,-30,0,11,-18,-11
569,-9999,-72,9,10,8,4,17,-1,-4
570,-9999,-81,8,10,3,3,16,1,-6
571,-9999,-89,7,10,-17,1,15,-18,-13
572,-9999,-95,8,9,-26,-1,15,-31,-17
573,-9999,-103,8,10,-32,-1,13,-41,-21
574,-9999,-101,8,12,-28,3,14,-27,-17
575,-9999,-103,8,9,-24,1,12,-17,-16
576,-9999,-109,8,11,-26,-1,11,-28,-19
577,-9999,-117,8,8,-32,-2,10,-40,-24
578,-9999,-122,8,9,-36,0,9,-47,-26
579,-9999,-112,8,9,-32,0,8,-50,-24
580,-9999,-113,8,11,5,3,11,-35,-16
581,-9999,-114,8,10,-10,0,10,-39,-19
582,-9999,-120,8,9,-22,0,8,-53,-24
583,-9999,-123,8,10,-26,-2,6,-61,-27
584,-9999,-121,8,11,-24,-2,8,-63,-26
585,-9999,-123,8,11,-30,-2,5,-67,-28
586,-9999,-113,8,12,-10,-2,9,-73,-24
587,-9999,-118,9,10,-9999,-2,7,-65,-26
588,-9999,-123,9,5,-9999,-3,4,-71,-30
589,-9999,-184,-9999,9,-9999,-3,3,-9999,-44
590,-9999,-184,-9999,10,-9999,-2,-9999,-9999,-59
591,-9999,-183,-9999,11,-9999,0,-9999,-9999,-57
592,-9999,-183,-9999,12,-9999,4,-9999,-9999,-56
593,-9999,-183,-9999,16,-9999,-2,-9999,-9999,-56
692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,6
693,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1
694,-9999,-9999,0,-9999,-9999,-9999,-9999,-6,-3
695,-9999,-9999,0,-9999,-9999,-9999,-9999,-11,-6
696,-9999,-9999,0,-9999,-9999,-9999,-9999,-15,-8
697,-9999,-9999,0,-9999,-9999,-9999,-9999,9,4
698,-9999,-9999,0,-9999,-9999,-9999,-9999,11,6
699,-9999,-9999,0,-9999,-9999,-9999,-9999,16,8
700,-9999,-9999,0,-9999,-9999,-9999,-9999,8,4
701,-9999,-9999,0,-9999,-9999,-9999,-9999,3,2
702,-9999,-9999,0,-9999,-9999,-9999,-9999,1,0
703,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0
704,-9999,-9999,10,-9999,-9999,-9999,-9999,-1,4
705,-9999,-9999,11,-9999,-9999,-9999,-9999,13,12
706,-9999,-9999,10,-9999,-9999,-9999,-9999,19,14
707,-9999,-9999,8,-9999,-9999,-9999,-9999,12,10
708,-9999,-9999,7,-9999,-9999,-9999,-9999,8,8
709,-9999,-9999,6,-9999,-9999,-9999,-9999,5,6
710,-9999,-9999,5,-9999,-9999,-9999,-9999,2,4
711,-9999,-9999,6,-9999,-9999,-9999,-9999,2,4
712,-9999,-9999,6,-9999,-9999,-9999,-9999,1,4
713,-9999,-9999,8,-9999,-9999,-9999,-9999,1,4
714,-9999,-9999,10,-9999,-9999,-9999,-9999,2,6
715,-9999,-9999,8,-9999,-9999,-9999,-9999,10,9
716,-9999,-9999,7,-9999,-9999,-9999,-9999,3,5
717,-9999,-9999,6,-9999,-9999,-9999,-9999,2,4
718,-9999,-9999,8,-9999,-9999,-9999,-9999,2,5
719,-9999,-9999,8,-9999,-9999,-9999,-9999,2,5
720,-9999,-9999,13,-9999,-9999,-9999,-9999,4,8
721,-9999,-9999,10,-9999,-9999,-9999,-9999,14,12
722,-9999,-9999,9,-9999,-9999,-9999,-9999,13,11
723,-9999,-9999,8,-9999,-9999,-9999,-9999,10,9
724,-9999,-9999,5,-9999,-9999,-9999,-9999,7,6
725,-9999,-9999,6,-9999,-9999,-9999,-9999,5,6
726,-9999,-9999,6,-9999,-9999,-9999,-9999,3,4
727,-9999,-9999,5,-9999,-9999,-9999,-9999,8,6
728,-9999,-9999,5,-9999,-9999,-9999,-9999,4,4
729,-9999,-9999,6,-9999,-9999,-9999,-9999,4,5
730,-9999,-9999,7,-9999,-9999,-9999,-9999,9,8
731,-9999,-9999,7,-9999,-9999,-9999,-9999,6,6
732,-9999,-9999,4,-9999,-9999,-9999,-9999,4,4
733,-9999,-9999,4,-9999,-9999,-9999,-9999,3,4
734,-9999,-9999,4,-9999,-9999,-9999,-9999,2,3
735,-9999,-9999,4,-9999,-9999,-9999,-9999,4,4
736,-9999,-9999,5,-9999,-9999,-9999,-9999,4,4
737,-9999,-9999,5,-9999,-9999,-9999,-9999,4,4
738,-9999,-9999,5,-9999,-9999,-9999,-9999,5,5
739,-9999,-9999,4,-9999,-9999,-9999,-9999,3,4
740,-9999,-9999,5,-9999,-9999,-9999,-9999,4,4
741,-9999,-9999,4,-9999,-9999,-9999,-9999,2,3
742,-9999,-9999,8,-9999,-9999,-9999,-9999,3,6
743,-9999,-9999,4,-9999,-9999,-9999,-9999,4,4
744,-9999,-9999,3,-9999,-9999,-9999,-9999,1,2
745,-9999,-9999,3,-9999,-9999,-9999,-9999,1,2
746,-9999,-9999,3,-9999,-9999,-9999,-9999,-2,0
747,-9999,-9999,8,-9999,-9999,-9999,-9999,4,6
748,-9999,-9999,4,-9999,-9999,-9999,-9999,10,7
749,-9999,-9999,3,-9999,-9999,-9999,-9999,1,2
750,-9999,-9999,4,-9999,-9999,-9999,-9999,-1,2
751,-9999,-9999,3,-9999,-9999,-9999,-9999,0,2
752,-9999,-9999,4,-9999,-9999,-9999,-9999,-4,0
753,-9999,-9999,8,-9999,-9999,-9999,-9999,2,5
754,-9999,-9999,6,-9999,-9999,-9999,-9999,15,10
755,-9999,-9999,5,-9999,-9999,-9999,-9999,11,8
756,-9999,-9999,7,-9999,-9999,-9999,-9999,8,8
757,-9999,-9999,7,-9999,-9999,-9999,-9999,16,12
758,-9999,-9999,6,-9999,-9999,-9999,-9999,17,12
759,-9999,-9999,6,-9999,-9999,-9999,-9999,16,11
760,-9999,-9999,3,-9999,-9999,-9999,-9999,11,7
761,-9999,-9999,7,-9999,-9999,-9999,-9999,8,8
762,-9999,-9999,8,-9999,-9999,-9999,-9999,7,8
763,-9999,-9999,5,-9999,-9999,-9999,-9999,12,8
764,-9999,-9999,6,-9999,-9999,-9999,-9999,8,7
765,-9999,-9999,4,-9999,-9999,-9999,-9999,11,8
766,-9999,-9999,6,-9999,-9999,-9999,-9999,11,8
767,-9999,-9999,7,-9999,-9999,-9999,-9999,5,6
768,-9999,-9999,5,-9999,-9999,-9999,-9999,10,8
769,-9999,-9999,4,-9999,-9999,-9999,-9999,10,7
770,-9999,-9999,5,-9999,-9999,-9999,-9999,3,4
771,-9999,-9999,2,-9999,-9999,-9999,-9999,-28,-13
772,-9999,-9999,4,-9999,-9999,-9999,-9999,-31,-14
773,-9999,-9999,5,-9999,-9999,-9999,-9999,-35,-15
774,-9999,-9999,4,-9999,-9999,-9999,-9999,-38,-17
775,-9999,-9999,3,-9999,-9999,-9999,-9999,-38,-18
776,-9999,-9999,6,-9999,-9999,-9999,-9999,-34,-14
777,-9999,-9999,8,-9999,-9999,-9999,-9999,-29,-10
778,-9999,-9999,8,-9999,-9999,-9999,-9999,-19,-6
779,-9999,-9999,8,-9999,-9999,-9999,-9999,-24,-8
780,-9999,-9999,4,-9999,-9999,-9999,-9999,-30,-13
781,-9999,-9999,6,-9999,-9999,-9999,-9999,-33,-14
782,-9999,-9999,3,-9999,-9999,-9999,-9999,-38,-18
783,-9999,-9999,7,-9999,-9999,-9999,-9999,-36,-14
784,-9999,-9999,8,-9999,-9999,-9999,-9999,-35,-14
785,-9999,-9999,9,-9999,-9999,-9999,-9999,10,10
786,-9999,-9999,5,-9999,-9999,-9999,-9999,1,3
787,-9999,-9999,7,-9999,-9999,-9999,-9999,-14,-4
788,-9999,-9999,8,-9999,-9999,-9999,-9999,-16,-4
789,-9999,-9999,8,-9999,-9999,-9999,-9999,-25,-8
790,-9999,-9999,10,-9999,-9999,-9999,-9999,-26,-8
791,-9999,-9999,7,-9999,-9999,-9999,-9999,13,10
792,-9999,-9999,8,-9999,-9999,-9999,-9999,10,9
793,-9999,-9999,7,-9999,-9999,-9999,-9999,14,10
794,-9999,-9999,6,-9999,-9999,-9999,-9999,8,7
795,-9999,-9999,5,-9999,-9999,-9999,-9999,6,6
796,-9999,-9999,6,-9999,-9999,-9999,-9999,2,4
797,-9999,-9999,9,-9999,-9999,-9999,-9999,3,6
798,-9999,-9999,9,-9999,-9999,-9999,-9999,-3,3
799,-9999,-9999,7,-9999,-9999,-9999,-9999,4,6
800,-9999,-9999,7,-9999,-9999,-9999,-9999,2,4
801,-9999,-9999,9,-9999,-9999,-9999,-9999,1,5
802,-9999,-9999,10,-9999,-9999,-9999,-9999,2,6
803,-9999,-9999,11,-9999,-9999,-9999,-9999,2,6
804,-9999,-9999,9,-9999,-9999,-9999,-9999,5,7
805,-9999,-9999,10,-9999,-9999,-9999,-9999,1,6
806,-9999,-9999,8,-9999,-9999,-9999,-9999,-5,2
807,-9999,-9999,9,-9999,-9999,-9999,-9999,1,5
808,-9999,-9999,9,-9999,-9999,-9999,-9999,-14,-2
809,-9999,-9999,10,-9999,-9999,-9999,-9999,9,10
810,-9999,-9999,10,-9999,-9999,-9999,-9999,2,6
811,-9999,-9999,10,-9999,-9999,-9999,-9999,-188,-89
812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-189,-189
813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188,-188
814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188,-188
815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188,-188
816,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188,-188
817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187,-187
818,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187,-187
819,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188,-188
820,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-38,-38
821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-34,-34
822,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-38,-38
823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-37,-37
824,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-40,-40
825,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-43,-43
826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-48,-48
827,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-51,-51
828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-55,-55
829,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-58,-58
830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-60,-60
831,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-62,-62
832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-63,-63
833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-63,-63
834,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-59,-59
835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-65,-65
836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-62,-62
837,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-68,-68
838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-73,-73
839,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74,-74
840,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74,-74
